score,count,category
1.0,23,medium
1.1,322,medium
1.2,1047,medium
1.3,2355,medium
1.4,1799,medium
1.5,668,medium
1.6,211,medium
1.7,154,medium
1.8,284,medium
1.9,1140,medium
2.0,28997,medium_high
2.1,9134,medium_high
2.2,10924,medium_high
2.3,11013,medium_high
2.4,9057,medium_high
2.5,5055,medium_high
2.6,2946,medium_high
2.7,2635,medium_high
2.8,2481,medium_high
2.9,2441,medium_high
3.0,1885,high
3.1,1251,high
3.2,1568,high
3.3,963,high
3.4,627,high
3.5,401,high
3.6,219,high
3.7,97,high
3.8,308,high
3.9,70,high
4.0,470,high
4.1,57,high
4.2,48,high
4.3,62,high
4.4,30,high
4.5,73,high
4.6,21,high
4.7,91,high
4.8,2999,high
4.9,1,high
5.0,290,
